ID,pendapat,label_sentimen
1,"Kebijakan dapat disesuaikan sesuai dengan angkatan atau kebutuhan mahasiswa, sehingga mahasiswa tidak merasa keberatan dan mengalami kesulitan dalam akademik dan lainnya",neutral
2,"untuk mahasiswa semester bawah yang memiliki keadaan finansial baik & keadaan tubuh yang sehat itu baik sekali, namun beberapa yang UKT nya sudah tinggi & tidak ada kemampuan dari orangtuanya untuk membayar UKT lebih dari 8 semester itu SANGAT MERUGIKAN",negative
3,"Jelas tidak sama sekali adil, karena dengan kebijakan ini tidak hanya akan memberikan tekanan lebih dari keluarga tetapi memberikan juga beban tambahan kepada orang tua kita sendiri, beban berupa penambahan semester",negative
4,"Tidak adil untuk mahasiswa tingkat akhir, pemberitahuan terlalu tiba-tiba dan tidak mempertimbangkan mahasiswa terlebih dahulu. Prodi menuntut mahasiswanya untuk cepat lulus, namun dari segi kebijakan malah menghambat. Beberapa prodi di Itera kebijakannya tidak berimbas ke mahasiswa tingkat akhir.",negative
5,"Tidak adil karena saya mahasiswa semester 6 saat ini, jika kebijakan tersebut berlangsung pada saat saya semester 7 ataupun 8 maka dampaknya planning yang sudah saya susun untuk hanya mengambil TA di semester 8 harus berubah dan di semester 8 yang harusnya sudah tidak ada mata kuliah wajib tapi saya masih harus mengambil mata kuliah pilihan yang di jadikan wajib tersebut, hal ini sangat tidak adil untuk mahasiswa yang sudah menyusun rencana studi. Jika kebijakan tersebut akan diterapkan harusnya diterapkan kepada mahasiswa baru mulai dari semester 3 (karena semester awal masih tpb)",negative
6,"seharusnya kurikulum baru diterapkan untuk mahasiswa 24-22 yang belum penuh sks nya untuk 20 dan 21 karena sudah tingkat akhir dan sks nya sudah full maka dapat dipertimbangkan kembali, di kampus lain jika ada perubahan kurikulum maka yang terdampak itu mahasiswa yang baru",negative
7,"Karena jika kebijakan ini ingin diterapkan seharusnya diterapkan dari awal atau jika kebijakan ini ingin diterapkan bisa untuk mahasiswa baruangkatan 2025 nanti itu tidak akan terlalu bermasalah, akan tetapi juka untuk mahasiswa angkatan 2024,2023,2022,2021, dan 2020 jelas sangat berdampak. Karena kami sydah melalu 1 tahun untuk masa tpb, jikalau harus menambah lagi dan harus menambah masa studi 1 atau 2 tahun lagi. Saya rasa banyak mahasiswa yg akan putus kuliah dan itu sangat berisiko ",negative
8,Tidak adil,negative
9,diterapkan pada mahasiswa yg blm masuk prodi,negative
10,"kalo dari saya ini bisa buruk bisa bagus. Baiknya mahasiswa bakal lebih aware dan siap untuk mengikuti perkuliahan, sedangkan buruknya lebih besar dirasakan mahasiswa tingkat akhir yang bisa menambah beban pikiran dan mental",neutral
11,"Secara idealis, kebijakan ini punya niat baik. Tapi jangan sampai niat memperbaiki kualitas justru menciptakan ketimpangan atau tekanan yang berlebihan bagi mahasiswa. Apalagi jika tujuannya untuk ekuivalensi dan relevansinya terhadap kebutuhan mahasiswanya, tentunya perlu keterlibatan mahasiswa itu sendiri baik untuk berdiskusi atau sosialisasi terkait kebijakan besar seperti ini. Karena menurut saya pribadi yang belum merasakan tingkat akhir mungkin kebijakan terhadapnya cukup memberatkan dan membuat stress dari berbagai aspek kehidupan.",negative
12,Pendapat saya jangan dirubah kurikulum dan kebijakan yang sudah ada,negative
13,Ketidakadilan bagi Mahasiswa Angkatan Akhir/Mendekati TA dan Keadilan bagi Mahasiswa Semester Awal,neutral
14,"Sangat tidak adil, karena harusnya untuk semester akhir khususnya lebih difokuskan saja untuk tugas akhir daripada penambahan matkul wajib, karena yang wajib di semester akhir harusny hanya skripsi tanpa memberatkan fokus kepada matkul lain",negative
15,"Kenapa harus adanya kebijakan ini,kalau harus tambah semester semakin banyak jugaa biaya yang dikeluarkan semakin berdampak buruk bagi mahasiswa sains data,semakin bertambahnya semester akan semakin sulit",negative
16,"saya harap kebijakan ini di evaluasi khususnya kebijakan untuk mahasiswa akhir, ini sangat tidak adil dan sangat merugikan, karena mahasiswa akhir khususnya saya, saya punya rencana saya sendiri, dan saya juga tidak akan lulus lama lama disini, jadi tolong sidang sebelum juli adalah kebijakan yang sangat merugikan mahasiswa akhir khususnya angkatan 2021, ditambah lagi adanya ekuivalensi yang menambah masa kuliah angkatan 2021 menjadi lebih lama, tolong sekali kebijakannya di evaluasi, tidak semua mahasiswa sanggup membayar UKT lagi apalagi saya yang notabennya adalah anak yatim. terimakasih tolong dibantu ",negative
17,"Karena mahasiswa angkatan atas sudah merancang studi berdasarkan kurikulum lama. Jika kebijakan baru langsung diterapkan ke semua mahasiswa tanpa masa transisi, mereka bisa terdampak secara akademik, waktu, dan finansial. Perubahan seharusnya berlaku untuk angkatan baru agar tidak merugikan yang sudah hampir lulus.",negative
18,Sebab untuk mahasiswa akhir yang tinggal menyelesaikan TA dan mengambil mata kuliah mengulang yang tersisa itu sangatlah memberatkan pihak mahasiswa. Apalagi jika harus menambah hingga dua semester. Termasuk mahasiswa yang sudah memenuhi sks untuk kelulusan yakni 144 sks.,negative
19,"Menurut saya tindakan ini kurang tepat, dikarenakan banyak sekali dampaknya, terutama untuk mahasiswa semester akhir, saya sudah menyelesaikan sks yang harus diambil dan hanya tersisa seminar proposal serta TA. Namun, karena adanya kebijakan ini, mungkin saja saya harus menambah semester, dan harus menetapkan target yang berbeda lagi, tidak hanya menambah 1 semester bahkan bisa menjadi 2 semester, hal ini menurut saya kurang cocok untuk diterapkan pada mahasiswa tingkat akhir. Jika ingin menerapkan kebijakan ini, menurut saya lebih baik dimulai dari mahasiswa yang masih berada di semester awal seperti semester 3/4, supaya bisa dipersiapkan dengan lebih baik. ",negative
20,Tidak seharusnya ekuivalensi kurikulum di jalankan seluruh aspek mahasiswa berbagai tingkat alangkah lebih bijak ditargetkan ke kelas yang lebih khusus / menjadi opsional saja,negative
21,Sebaiknya ekuivalensi tidak perlu dilakukan,neutral
22,"saya merasa kebijakan ini berdampak sekali pada mahasiswa semester akhir, sehingga akan terjadi kesulitan pada masa awal transisi yang dimana matkul wajib yang harus di tambah kedepannya, sehingga mahasiswa smt akhir menjadi tidak fokus untuk menyelesaikan tugas akhir dan berfokus pada mata kuliah wajib yang baru.",negative
23,"jika ada kurikulum baru,m tidak apa apa, tapi berlaku untuk angkatan selanjutnya saja, jangan angkatan yang sudah lewati massa nya untuk mengambil mata kuliah itu",negative
